id_transacao,data_transacao,cpf_aluno,plano_adquirido,cep_cobranca,valor_brl,mes_referencia,tickets_suporte,nps_score,horas_assistidas,venda_em_feriado,cidade,uf,bairro
TX-50000,2024-08-23,***.579.073-**,B�sico,60060440.0,"49,90",2024-08,,,,False,Fortaleza,CE,Praia de Iracema
TX-50001,2024-09-08,***.494.290-**,B�sico,60060440.0,"49,90",2024-09,,,,False,Fortaleza,CE,Praia de Iracema
TX-50002,2024-08-30,***.318.939-**,Premium,50010000.0,"99,90",2024-08,4.0,10.0,80.0,False,Recife,PE,Santo Antônio
TX-50003,2024-05-08,***.936.385-**,B�sico,90010150.0,"49,90",2024-05,0.0,5.0,148.4,False,Porto Alegre,RS,Centro Histórico
TX-50004,2024-02-08,***.374.441-**,B�sico,70040010.0,"49,90",2024-02,,,,False,Brasília,DF,Asa Norte
TX-50005,2024-07-04,***.649.525-**,Anual,70040010.0,"899,00",2024-07,,,,False,Brasília,DF,Asa Norte
TX-50006,2024-11-23,***.687.906-**,B�sico,50010000.0,"49,90",2024-11,,,,False,Recife,PE,Santo Antônio
TX-50007,2024-06-03,***.906.375-**,Anual,4538133.0,"899,00",2024-06,,,,False,,,
TX-50008,2024-10-07,***.426.629-**,B�sico,1001000.0,"49,90",2024-10,,,,False,,,
TX-50009,2024-12-04,***.665.622-**,Premium,80010010.0,"99,90",2024-12,,,,False,Curitiba,PR,Centro
TX-50010,2024-05-12,***.087.805-**,Anual,69010000.0,"899,00",2024-05,,,,False,Manaus,AM,Centro
TX-50011,2024-05-06,***.735.856-**,B�sico,30140071.0,"49,90",2024-05,,,,False,Belo Horizonte,MG,Boa Viagem
TX-50012,2024-06-11,***.920.881-**,B�sico,1001000.0,"49,90",2024-06,,,,False,,,
TX-50013,2024-03-12,***.676.772-**,B�sico,20031050.0,"49,90",2024-03,5.0,5.0,,False,Rio de Janeiro,RJ,Centro
TX-50014,2024-11-07,***.289.623-**,B�sico,20031050.0,"49,90",2024-11,,,,False,Rio de Janeiro,RJ,Centro
TX-50015,2024-11-24,***.464.183-**,Premium,30140071.0,"99,90",2024-11,1.0,,81.7,False,Belo Horizonte,MG,Boa Viagem
TX-50016,2024-08-11,***.500.115-**,B�sico,60060440.0,"49,90",2024-08,,,,False,Fortaleza,CE,Praia de Iracema
TX-50017,2024-02-21,***.808.557-**,Anual,4538133.0,"899,00",2024-02,2.0,,56.3,False,,,
TX-50018,2024-04-18,***.142.473-**,B�sico,60060440.0,"49,90",2024-04,,,,False,Fortaleza,CE,Praia de Iracema
TX-50019,2024-05-25,***.769.389-**,Anual,60060440.0,"899,00",2024-05,2.0,,144.0,False,Fortaleza,CE,Praia de Iracema
TX-50020,2024-02-10,***.537.932-**,Premium,90010150.0,"99,90",2024-02,3.0,4.0,139.2,False,Porto Alegre,RS,Centro Histórico
TX-50021,2024-07-10,***.642.813-**,Anual,70040010.0,"899,00",2024-07,,,,False,Brasília,DF,Asa Norte
TX-50022,2024-04-20,***.112.664-**,Anual,20031050.0,"899,00",2024-04,,,,False,Rio de Janeiro,RJ,Centro
TX-50023,2024-11-23,***.599.594-**,Premium,60060440.0,"99,90",2024-11,5.0,,141.0,False,Fortaleza,CE,Praia de Iracema
TX-50024,2024-10-11,***.602.529-**,B�sico,50010000.0,"49,90",2024-10,,,,False,Recife,PE,Santo Antônio
TX-50025,2024-06-10,***.182.730-**,Premium,,"99,90",2024-06,0.0,3.0,122.1,False,,,
TX-50026,2024-02-05,***.455.259-**,B�sico,30140071.0,"49,90",2024-02,2.0,3.0,,False,Belo Horizonte,MG,Boa Viagem
TX-50027,2024-09-28,***.677.306-**,B�sico,50010000.0,"49,90",2024-09,,,,False,Recife,PE,Santo Antônio
TX-50028,2024-11-09,***.407.030-**,B�sico,4538133.0,"49,90",2024-11,,,,False,,,
TX-50029,2024-07-28,***.714.611-**,,1001000.0,"99,90",2024-07,,,,False,,,
TX-50030,2024-07-10,***.832.812-**,Premium,30140071.0,"99,90",2024-07,1.0,9.0,87.1,False,Belo Horizonte,MG,Boa Viagem
TX-50031,2024-09-01,***.465.193-**,B�sico,20031050.0,"49,90",2024-09,0.0,,31.7,False,Rio de Janeiro,RJ,Centro
TX-50032,2024-06-22,***.820.506-**,B�sico,70040010.0,"49,90",2024-06,1.0,1.0,,False,Brasília,DF,Asa Norte
TX-50033,2024-01-01,***.202.461-**,B�sico,4538133.0,"49,90",2024-01,3.0,5.0,,True,,,
TX-50034,2024-10-13,***.143.455-**,Premium,69010000.0,"99,90",2024-10,,,,False,Manaus,AM,Centro
TX-50035,2024-04-29,***.653.469-**,B�sico,30140071.0,"49,90",2024-04,,,,False,Belo Horizonte,MG,Boa Viagem
TX-50036,2024-06-24,***.629.145-**,B�sico,70040010.0,"49,90",2024-06,,,,False,Brasília,DF,Asa Norte
TX-50037,2024-04-11,***.960.893-**,B�sico,60060440.0,"49,90",2024-04,2.0,5.0,115.8,False,Fortaleza,CE,Praia de Iracema
TX-50038,2024-06-19,***.947.638-**,B�sico,50010000.0,"49,90",2024-06,,,,False,Recife,PE,Santo Antônio
TX-50039,2024-02-20,***.683.565-**,,30140071.0,"99,90",2024-02,,,,False,Belo Horizonte,MG,Boa Viagem
TX-50040,2024-11-23,***.798.491-**,B�sico,70040010.0,"49,90",2024-11,,,,False,Brasília,DF,Asa Norte
TX-50041,2024-11-30,***.969.155-**,Anual,60060440.0,"899,00",2024-11,,,,False,Fortaleza,CE,Praia de Iracema
TX-50042,2024-07-21,***.489.138-**,B�sico,69010000.0,"49,90",2024-07,,,,False,Manaus,AM,Centro
